Price,Close,High,Low,Open,Volume
Ticker,A,A,A,A,A
Date,,,,,
2022-12-01,153.3707275390625,154.22541706316798,151.70066747679834,153.9699860602959,1372400
2022-12-02,152.9286651611328,153.96999626935235,150.88529195308095,151.2586049881345,1183200
2022-12-05,150.0109405517578,151.1799869765246,148.58647813951092,151.1308644816028,1124700
2022-12-06,148.6847381591797,150.3056757248857,147.27009410688524,149.47063819704783,1172300
2022-12-07,151.0228271484375,151.63191920882693,148.46862186096334,148.56685187774113,1011100
2022-12-08,153.5279083251953,154.22541182230512,150.7772133213668,151.7006623217311,1289900
2022-12-09,150.25656127929688,153.9405241170865,149.99131175775273,152.92866352351362,1020200
2022-12-12,152.59466552734375,153.23321313604544,150.72811522714363,151.29790331940993,1071400
2022-12-13,154.88363647460938,157.4378419007045,153.99947633512377,156.39651072782783,1534200
2022-12-14,152.0838165283203,155.64989756508032,151.4452689276717,154.49066939472115,1344400
2022-12-15,148.20335388183594,150.344956855994,147.5942768873656,150.1190113564456,1483900
2022-12-16,146.67083740234375,147.3093849385466,145.30531583301192,146.97537591930458,2436700
2022-12-19,144.36221313476562,146.50383121317066,143.66472460199654,146.28770420553118,1277300
2022-12-20,145.32496643066406,146.55295410748676,143.311078632742,144.67660032976548,1548200
2022-12-21,147.44691467285156,147.62375267149653,145.2856596243956,146.31717214459204,1248100
2022-12-22,146.3859405517578,146.56277856115486,144.02821035373927,145.7965154972947,1166800
2022-12-23,146.60205078125,147.6040927462007,145.60984230963493,146.38592378900412,779400
2022-12-27,146.91644287109375,147.1718589013906,144.70606513980374,146.60207084295917,879500
2022-12-28,145.48214721679688,148.704385565644,145.04007466706227,147.14238889454282,784300
2022-12-29,148.42930603027344,149.2250395561345,146.39576646308205,146.97537298314356,854400
2022-12-30,147.23390197753906,147.4306849971543,145.44329359604637,147.3421266333528,699800
2023-01-03,147.6176300048828,150.65775403181195,146.07298512221323,149.50664523057128,1414300
2023-01-04,149.2213134765625,150.5691902703334,147.81440777393138,149.20163216946287,1247400
2023-01-05,149.65419006347656,150.5986975031111,146.36811784760422,147.57825533789276,1714600
2023-01-06,145.285888671875,152.14336029068934,140.70112005496762,151.86788204878778,2445000
2023-01-09,145.089111328125,148.8375968191598,144.82346625033372,147.27327082899268,1269600
2023-01-10,152.7238311767578,153.03867203164705,146.3484539896333,147.75535965226916,1565700
2023-01-11,155.6163787841797,156.0197630285012,152.72384202724297,152.72384202724297,1241900
2023-01-12,153.96351623535156,156.0394514505411,153.06820433882584,155.60655273079504,809100
2023-01-13,154.38658142089844,154.74076995129707,152.0056532491682,153.02885621896345,921700
2023-01-17,152.89108276367188,155.55733679876516,152.52706116582195,154.150416141981,1602200
2023-01-18,151.5825958251953,155.60656046685565,151.1595302326142,153.73722635796636,1150700
2023-01-19,150.40191650390625,152.41882235640446,149.68370652177487,151.1004601940163,1017400
2023-01-20,153.40269470214844,153.4912380635381,149.94936849600683,151.0217670171171,1343700
2023-01-23,156.4919891357422,157.01343113552048,153.15672096148228,153.48139494458832,974900
2023-01-24,153.17640686035156,155.95087050723723,151.96626925971196,153.74704463451963,1121500
2023-01-25,153.24526977539062,154.01267557645195,150.3625814479953,151.51369014958726,736200
2023-01-26,153.7076873779297,155.11460806259913,152.68448461743785,154.43574560049777,776300
2023-01-27,153.17640686035156,154.42590707296847,152.31060954610518,153.23543576587969,646200
2023-01-30,149.2902069091797,153.00917869940477,148.444090760415,152.0056421014652,1401100
2023-01-31,149.6246795654297,150.98240435437944,147.784875404269,149.16226648549568,1995400
2023-02-01,152.94027709960938,153.76671180660023,149.2705016647464,150.83482771993008,1499900
2023-02-02,152.98947143554688,154.77024680396417,152.2712614001359,154.13074697978746,1725600
2023-02-03,152.0548095703125,152.91075870818955,150.2740342311976,150.6970847206282,992800
2023-02-06,149.78211975097656,151.90723555505718,148.91632237851925,150.2641991868267,771500
2023-02-07,152.01544189453125,152.45818868724285,148.69002195690953,149.04421038361662,1126700
2023-02-08,151.9269256591797,152.66481709549302,150.75613551157218,151.159519766409,1073500
2023-02-09,149.91986083984375,153.7962527468957,149.09341105875257,153.15673785661753,852200
2023-02-10,150.08709716796875,150.51999581009514,148.63099583644686,149.34920584955438,934800
2023-02-13,152.10401916503906,152.1630480747539,149.55582280031663,150.79548995408402,925400
2023-02-14,150.56918334960938,153.2354373726087,149.0048572869608,151.84819802840124,895400
2023-02-15,149.3000030517578,149.86080763327598,147.87341623925306,149.76241612381915,982400
2023-02-16,145.88604736328125,147.73569993702728,144.85299640427544,146.40748941652856,1101700
2023-02-17,145.86636352539062,146.5353928539976,144.12495066642612,144.88250834577462,1194800
2023-02-21,141.10447692871094,144.28232425429442,140.32723811376093,144.23314351611475,1693800
2023-02-22,139.7861328125,141.12417633371095,138.67437175822138,141.05529927152787,1691300
2023-02-23,140.8880615234375,141.26193130311526,139.02857579744065,139.79598165182418,1511500
2023-02-24,138.9203338623047,139.94355154929343,136.4803774749607,139.17614579027043,1522100
2023-02-27,139.884521484375,141.43901446135465,139.52049987384257,140.57323211637708,1149600
2023-02-28,139.6779022216797,141.06514144091557,139.1072644929351,139.4614529103477,2342500
2023-03-01,135.2899169921875,137.7298885861313,134.05026490106644,136.34264921426166,3132800
2023-03-02,139.3827667236328,139.4319624869469,133.88301966624235,134.09946901487302,1879200
2023-03-03,141.6062774658203,142.10805324610578,139.68776275059827,140.23871928292465,1147800
2023-03-06,140.9175567626953,143.09188306191365,140.37643347443404,141.03562957895764,1153600
2023-03-07,138.06439208984375,141.34063147175536,137.96600057194308,141.24223995385472,1088400
2023-03-08,138.62518310546875,139.29421240657885,137.12973410287074,137.88729175108384,1135900
2023-03-09,136.68698120117188,139.70742355009097,136.0671626995127,138.97936537500036,1328900
2023-03-10,133.52880859375,137.18875058093008,132.53512039767693,136.94278681841763,1896000
2023-03-13,134.48316955566406,136.0474957191162,132.58432121509242,133.3615752292819,1771400
