Price,Close,High,Low,Open,Volume
Ticker,CBOE,CBOE,CBOE,CBOE,CBOE
Date,,,,,
2022-12-01,125.0169448852539,126.32802998387216,123.47912648694805,125.48026389523687,484000
2022-12-02,126.50548553466797,127.11666594618377,124.42548360306684,125.27325725864476,546200
2022-12-05,125.43096923828125,126.7124820374793,124.16916878082667,126.53504839901599,532600
2022-12-06,126.56462860107422,127.99401037612982,125.80557930115164,125.80557930115164,715200
2022-12-07,126.67305755615234,128.6643425170015,125.09580698181696,127.1659488306899,819200
2022-12-08,125.0169448852539,128.43760407623887,124.68178242241252,127.57997805607174,573500
2022-12-09,122.62149047851562,126.48575625958875,122.5229137279531,125.79571148472712,792400
2022-12-12,123.90301513671875,124.00159189073267,121.61599984734447,122.87780034894072,574900
2022-12-13,121.2216796875,126.70262818242172,120.95551419099186,126.54489936657632,835000
2022-12-14,119.95001983642578,122.15817062142604,119.7331464741543,121.28082476199974,600000
2022-12-15,122.37504577636719,122.3947656391847,118.22490212231651,119.49656252078094,1236700
2022-12-16,122.25674438476562,123.25238683227006,120.38376362019073,122.5919143512495,1003900
2022-12-19,121.50756072998047,123.84386058914437,120.95551738088669,122.94680236836864,463400
2022-12-20,121.42869567871094,122.72992835318485,120.46262546359173,122.00045136682385,433600
2022-12-21,124.3958969116211,124.52404592994355,120.24575346144364,121.43854939189072,751100
2022-12-22,122.49334716796875,123.71571547798807,120.89637665904682,123.11438749430955,568600
2022-12-23,124.38603973388672,124.40575207524816,122.69049258169721,123.97201287698198,295700
2022-12-27,124.57334899902344,125.81542965127832,123.70585550369381,125.36197056095799,384000
2022-12-28,124.32689666748047,125.4112559574278,123.08480856107043,123.08480856107043,396700
2022-12-29,125.371826171875,125.86471745144348,123.61713441995907,125.77599311024063,1322800
2022-12-30,123.68614196777344,125.90415278087583,122.98623723592759,125.38168921491514,351600
2023-01-03,124.5339126586914,125.0662361438112,123.24253239035627,124.63248941054528,517800
2023-01-04,122.70034790039062,125.97314547080123,121.76385002106385,125.97314547080123,689100
2023-01-05,122.01029968261719,124.03115686512615,121.3498271965787,121.8525783896623,488800
2023-01-06,121.73428344726562,123.74528072623106,120.19646509549602,122.37504360081093,470400
2023-01-09,120.44291687011719,123.84386378942808,120.38377232154895,121.54699607591145,771300
2023-01-10,120.74850463867188,121.34983260677706,119.48670415508202,120.66964774914061,760200
2023-01-11,121.67513275146484,122.41446961720227,120.76821466784858,121.11323703434134,545800
2023-01-12,122.01029968261719,122.61162762391308,120.52177348648694,120.85693593459347,825100
2023-01-13,122.7200698852539,123.05523986952974,120.71893247391819,122.2468984639428,589600
2023-01-17,121.86244201660156,124.51419197227611,121.79343753866782,122.93694139027332,570800
2023-01-18,120.83722686767578,123.4594045416106,120.5316291627359,123.25239110847816,782700
