Price,Close,High,Low,Open,Volume
Ticker,EXPD,EXPD,EXPD,EXPD,EXPD
Date,,,,,
2022-12-01,111.76197052001953,113.12930056529318,110.77284397118737,112.9450485283719,1426300
2022-12-02,112.02381134033203,112.85778423616121,109.86130590464151,110.74376112323259,1118300
2022-12-05,108.43578338623047,112.14987075928147,108.2030490235056,111.98501756062184,1562900
2022-12-06,106.8551254272461,109.27946345836799,105.89508224000721,108.70731583580711,1543100
2022-12-07,104.343505859375,107.18483028638798,104.08168061116567,106.44782946408803,1894000
2022-12-08,104.5859375,105.73022530633416,104.07197903925955,104.8283712945751,924800
2022-12-09,104.64412689208984,105.51688263585493,103.238006441094,104.53745543034215,1417800
2022-12-12,109.85160064697266,110.34616766323336,104.3629033433947,104.60533713980787,2194300
2022-12-13,109.0273208618164,113.42991923579643,108.5036630042778,113.04202370445391,1611900
2022-12-14,109.37642669677734,111.58742161945027,108.30002010571417,108.43578243265078,2237800
2022-12-15,106.01145935058594,108.59095871836236,105.61387173736433,108.28064372810661,1540200
2022-12-16,105.25505828857422,106.21509405398501,104.58593864073124,105.05141478672904,3095200
2022-12-19,104.74110412597656,106.4187419285119,103.65499800634916,105.49749642062187,1171600
2022-12-20,103.66468811035156,105.41990634902199,103.034358788652,105.00291994221999,1492800
2022-12-21,104.343505859375,105.40052107275825,103.7325753478916,104.9350449222287,963800
2022-12-22,103.66468811035156,103.74226869731285,102.00644190613676,103.41255490197334,1294700
2022-12-23,104.0622787475586,104.50835603803544,103.2961870752748,103.78105466037906,568300
2022-12-27,103.19921112060547,104.06227479745057,102.81131558754777,104.06227479745057,777700
2022-12-28,101.00762176513672,103.75196675235568,100.9397331987306,103.50953295287925,616500
2022-12-29,102.02583312988281,103.11193914948312,101.23065061150336,101.28883235235074,722500
2022-12-30,100.77487182617188,101.74460694551185,99.64028351218215,101.15306793083512,755800
2023-01-03,101.80281066894531,101.9676638872136,100.64882334408149,101.38582421194776,1109700
2023-01-04,102.96648406982422,103.86833810384748,101.60885330698918,102.3652455809779,1623100
2023-01-05,101.74461364746094,102.66586651061222,101.06580197860615,101.93856512319967,1407200
2023-01-06,104.90594482421875,105.07079801779692,102.15189325597962,102.91798488309739,1348200
2023-01-09,106.5254135131836,108.30973018322092,104.97383862521157,104.97383862521157,1407500
2023-01-10,105.25505828857422,107.54363392620432,104.5568477688237,106.83572398298716,1231300
2023-01-11,107.0684585571289,107.15573116698431,104.95443569156005,105.26475063519896,1256600
2023-01-12,106.97148132324219,107.09755162694536,105.06110190658711,106.73874696035541,1155100
2023-01-13,105.62355041503906,107.15573372263886,105.20656400597056,106.67086614923326,991800
2023-01-17,104.74110412597656,105.54597874296245,103.98471183133125,104.83807616915036,1739200
2023-01-18,104.04289245605469,107.82486128700792,103.90713011737623,105.34233409726063,1467300
2023-01-19,102.31676483154297,104.17865467280488,101.61855429144661,103.7713676572462,1512500
2023-01-20,103.49983215332031,104.16894435217452,101.8221871478339,102.8985937181332,4668700
2023-01-23,105.53627014160156,106.30236173978635,103.39315651054909,103.61619143496871,1191200
2023-01-24,105.07080841064453,105.93387215473565,104.42108759628246,105.44900455025783,875300
2023-01-25,104.48896026611328,104.67321230834587,102.0549230180349,103.42225310272373,922800
2023-01-26,104.9350357055664,105.46839297719269,103.10223693360231,105.30353238510435,1014700
2023-01-27,104.45987701416016,106.25388565594554,104.38229642245781,105.04171665494293,873800
