Price,Close,High,Low,Open,Volume
Ticker,FDX,FDX,FDX,FDX,FDX
Date,,,,,
2022-12-01,171.08462524414062,174.0237407411979,170.53472556231702,172.55418299266927,1562500
2022-12-02,171.9948272705078,172.99033518007693,167.8895524676895,168.91350222037275,2060300
2022-12-05,167.4344482421875,170.5821323895925,167.15949116955835,170.23134005574465,1560700
2022-12-06,164.06869506835938,167.40601085820646,162.21041284820112,167.2827532384468,2064100
2022-12-07,163.33865356445312,165.24432920146725,162.77927808197202,163.3291777732923,1500200
2022-12-08,162.9878692626953,165.59514417936268,161.66052062500472,162.40003744401997,2229500
2022-12-09,164.48638916015625,166.87260147682255,162.40560444659548,162.40560444659548,1475000
2022-12-12,169.2969970703125,170.11785473969994,164.24777790969463,164.24777790969463,2461600
2022-12-13,168.82928466796875,175.9974606372622,167.59799105737088,175.32932415615014,2754300
2022-12-14,169.9651336669922,172.6949465078425,167.80798846508418,168.34249768047542,1611700
2022-12-15,165.2881622314453,168.27570487928202,163.95188908521945,167.14940502950455,1802600
2022-12-16,163.90414428710938,165.7844806604414,161.8710868379888,164.56274118269963,3383700
2022-12-19,161.0979766845703,163.8946253001817,159.42762793923913,162.5392437873991,2783800
2022-12-20,156.86961364746094,160.84026012979663,155.20880452473304,160.2771174821473,5451400
2022-12-21,162.25291442871094,166.82489128414002,160.50620508755242,166.5958096352996,7904800
2022-12-22,167.6934814453125,167.7698419973367,160.00033424137825,160.40121621629078,5122100
2022-12-23,167.9225311279297,170.9100736973952,167.52164919457812,167.71255783698948,3035900
2022-12-27,168.99156188964844,169.88878006539105,167.13031916565276,167.72209516910667,1936600
2022-12-28,165.17364501953125,169.52609462802863,165.14501163244532,169.07748547796726,1705200
2022-12-29,167.5598602294922,168.81977297311218,165.70815682717972,165.92768431957435,1362900
2022-12-30,165.31678771972656,167.18758459937345,163.74189340373263,166.0135576438158,1558300
2023-01-03,169.20156860351562,169.50699624556702,166.58627432782393,167.00625007939487,2193900
2023-01-04,173.19131469726562,174.71849664960573,170.8241957789963,170.85282916622762,2286000
2023-01-05,173.02906799316406,173.60176491273938,170.22287930296287,171.473252527605,2441600
2023-01-06,177.31468200683594,177.97327898518583,172.64725095312588,174.06942427780325,2039400
2023-01-09,181.10400390625,183.3947622672723,177.2383364282742,177.3242365898481,2894300
2023-01-10,180.14952087402344,181.2758062877671,178.01146903231518,180.05406653944428,1694400
2023-01-11,183.4520263671875,185.0842022347288,181.34262253198645,181.34262253198645,1913000
2023-01-12,183.15611267089844,184.34921883363145,181.78165204114455,183.3851942972855,1560600
2023-01-13,180.0444793701172,182.30660377205862,179.64359748649989,181.78163419912545,1343800
2023-01-17,179.56727600097656,179.92043080671002,177.581945361602,179.40501529119942,1853500
2023-01-18,179.12820434570312,182.98433203395342,178.98503741650717,179.65317402656464,1337800
2023-01-19,175.8447723388672,178.3550726189162,175.2816296687095,177.47694814232656,1321200
2023-01-20,178.37417602539062,178.46961579461242,175.83524222265015,176.751539741469,1595900
2023-01-23,182.44981384277344,183.53792623128268,177.8301096364209,178.6796007593423,1642200
2023-01-24,180.63629150390625,183.40429225870096,180.18768237571538,180.37857646841059,1238900
2023-01-25,179.26182556152344,179.74862223277955,177.39104311708687,178.21190079984973,1020400
