Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2022-12-01,138.39208984375,142.01188725317215,138.27626103992637,140.67014960257274,1459300
2022-12-02,139.01954650878906,139.56974812036336,137.06967795183448,137.82259472282777,1632300
2022-12-05,135.7086181640625,142.40765910517555,135.2259784965932,141.23001713823092,2396900
2022-12-06,130.90151977539062,136.57736648273234,129.75283511042932,134.5695838738156,1756800
2022-12-07,130.0906982421875,131.972989972728,128.9902804051797,131.18145385942742,1525200
2022-12-08,128.80686950683594,134.0097242379667,128.05395284659755,133.6815328176562,2136500
2022-12-09,124.82992553710938,130.00380842004236,124.53067658321453,129.0964582548219,2069600
2022-12-12,129.50186157226562,129.89762958095125,125.66970195321797,125.91102175427139,1387500
2022-12-13,132.40736389160156,134.59855209420718,131.34556546629463,132.99618487189667,1621700
2022-12-14,131.4324493408203,134.50203082600433,129.50189050113374,133.53675140616104,1300500
2022-12-15,129.99415588378906,130.81464914453719,128.2083980942087,129.76248355947376,1478700
2022-12-16,128.7502899169922,129.61178667795397,126.0883598974888,127.29832808817216,3025500
2022-12-19,129.3504638671875,131.58648306061795,128.41152722672476,130.35715105617632,1103000
2022-12-20,131.65423583984375,132.5544600064192,128.93422925040232,129.17622292946467,1125600
2022-12-21,135.7971954345703,136.2521448299426,132.63192807118247,134.40332395250167,1177200
2022-12-22,130.9669952392578,135.70039148714312,128.0921088611428,135.67135342434386,1009400
2022-12-23,137.1426544189453,137.18138167991137,132.1479159732587,132.68997946580433,1162700
2022-12-27,138.81727600097656,139.84332697297404,137.2007597830019,138.26552324992662,952600
2022-12-28,134.20001220703125,138.24615414524817,133.57083455825227,138.18806325617712,937700
2022-12-29,136.34893798828125,137.43306509405207,133.02877657167204,133.61924182109163,743400
2022-12-30,137.27818298339844,137.56856358563465,134.95503477465346,135.64230333023093,846100
2023-01-03,130.21197509765625,136.92003341661143,128.17922209608736,135.5551853947044,1557000
2023-01-04,132.1963348388672,132.53511718066036,126.40783449257961,126.94989805554816,1342600
