Price,Close,High,Low,Open,Volume
Ticker,ROK,ROK,ROK,ROK,ROK
Date,,,,,
2022-12-01,255.1586151123047,255.19688512135784,249.53412063150984,253.99162796362643,650900
2022-12-02,253.95333862304688,254.46988153582043,248.9027778966544,250.4236822367739,887400
2022-12-05,251.25592041015625,252.04984065031354,247.32450164398108,251.25592041015625,741900
2022-12-06,245.61227416992188,252.60462219096414,244.26355557697806,251.5715654887145,638100
2022-12-07,243.69920349121094,247.506252093614,242.27394484304887,245.2009729672736,847600
2022-12-08,245.99490356445312,247.0375350145633,244.07223710786226,244.85659709746764,542200
2022-12-09,248.52020263671875,251.0168027628844,245.82273603328744,246.78885679067508,663800
2022-12-12,252.95860290527344,253.11162457770698,246.48276776359944,246.48276776359944,676300
2022-12-13,259.9222106933594,264.80057110694554,255.45512879210605,261.1274385973047,1354400
2022-12-14,257.4735107421875,261.7205483087688,256.2395581754852,259.2048567413623,1014500
2022-12-15,245.9757843017578,252.91074241381446,245.19140961968378,252.91074241381446,685500
2022-12-16,242.07308959960938,244.6270655243575,238.83038483023756,242.1400402260592,1460600
2022-12-19,239.76779174804688,243.0870070911239,237.9025302170301,242.28349746598985,564600
2022-12-20,243.3452606201172,244.45485731920814,238.85907280313407,239.47126156888572,473100
2022-12-21,248.0897674560547,251.36116776413655,244.88536156833788,245.70797715260218,642900
2022-12-22,244.8470458984375,246.70274720932866,240.74345596956337,245.5548804963058,449800
2022-12-23,245.5835723876953,246.6357786618446,243.75658090546352,245.35401072477646,297500
2022-12-27,246.3583984375,248.7976081317269,244.68445761603374,246.320157617248,290800
2022-12-28,244.10093688964844,247.87930465969174,243.40266250854827,246.52099671349612,400800
2022-12-29,248.3480224609375,249.65848570376733,246.59752707602408,246.91320357758252,299400
2022-12-30,246.37754821777344,248.01323362444106,244.2348800277407,246.86536680379993,301500
2023-01-03,250.06027221679688,251.00724343087424,247.2862654186667,248.4628275266626,725000
2023-01-04,249.20889282226562,251.70549270728725,244.89486163363028,250.98808330916634,792700
2023-01-05,247.34365844726562,250.7298395513893,244.3975095327605,247.5158589173837,616000
2023-01-06,255.89515686035156,257.14822969419464,248.48192589776218,250.9976463660237,550800
2023-01-09,257.6360778808594,262.6866392353165,257.55956705052654,259.08047157977876,692500
2023-01-10,259.8552551269531,260.5822393310434,256.14385247243825,256.14385247243825,542300
2023-01-11,267.9285583496094,267.9285583496094,260.85012331470176,260.85012331470176,881900
2023-01-12,269.18157958984375,271.27641740233025,264.34145977243156,268.454595379786,733900
2023-01-13,272.84515380859375,272.9503890412566,266.90501171169274,266.90501171169274,525000
2023-01-17,269.92767333984375,273.5338406532606,269.37286040457195,271.9077302376384,739000
2023-01-18,262.495361328125,270.75990343629906,261.82576746387446,270.64512258904847,729600
2023-01-19,253.790771484375,260.45789774028407,253.790771484375,260.34311690007337,876700
2023-01-20,258.2674255371094,258.2961207500659,254.05862888516856,255.74213003106414,862100
2023-01-23,263.6431579589844,265.14494192353226,258.3630354669838,260.27612713398634,582200
2023-01-24,265.9006652832031,266.32154785487086,259.3674398126335,261.4718526709723,688400
2023-01-25,265.9962463378906,266.77107530111783,260.5056827227952,261.6726697801336,814100
2023-01-26,269.6216125488281,281.4253865194682,259.52048926652907,277.80964385809375,1505200
2023-01-27,274.0120849609375,274.7964594749878,264.111830697237,270.4633084332644,1027900
2023-01-30,266.3980407714844,274.42347511399,265.69975173557964,270.8938183066915,861700
2023-01-31,269.774658203125,269.97552468280617,261.1370492792396,266.9528359207738,1059100
2023-02-01,270.578125,273.7442894876398,265.02059584245325,267.34499529565164,831700
2023-02-02,278.5079345703125,280.26797569284787,270.520769697769,272.4912521062307,999300
2023-02-03,277.36004638671875,280.593176262257,275.1121576396909,275.51391976975185,534800
2023-02-06,275.2174377441406,276.040053356369,272.31910430583963,274.1652312238151,482900
2023-02-07,276.81488037109375,277.5418355318935,271.0564543645881,274.9304834512404,631900
